window,rppg_score,fft_score
30,0.2917,0.0
45,0.133,0.0
60,0.4715,0.0
75,0.3764,0.9042
90,0.4112,0.9145
105,0.4176,0.9272
120,0.3965,0.9184
135,0.7643,0.9345
150,0.6981,0.9371
165,0.5381,0.9388
180,0.6908,0.9364
195,0.3446,0.9416
210,0.4229,0.9445
225,0.7023,0.9436
240,0.3348,0.9459
255,0.2655,0.9472
270,0.5435,0.9454
285,0.3706,0.9456
300,0.409,0.9465
315,0.3626,0.9461
330,0.4723,0.9474
345,0.1933,0.9464
360,0.1984,0.9474
375,0.8235,0.948
390,0.6863,0.9482
405,0.8802,0.9473
